athlete_id,athlete_name,round,team_id,team_name,assistances,receivedBalls,recoveredBalls,lostBalls,yellowCards,redCards,cards,crossBalls,receivedCrossBalls,missedCrossBalls,receivedCrossBallsPercent,defenses,sucessfulTackles,unsucessfulTackles,tackles,sucessfulDribles,unsucessfulDribles,dribles,givenCorners,receivedCorners,receivedFouls,committedFouls,goodFinishes,postFinishes,badFinishes,finishes,goals,ownGoals,offsides,longPasses,sucessfulLongPasses,unsucessfulLongPasses,sucessfulPasses,unsucessfulPasses,passes,sucessfulPassesPercent,timePlayed,switchField,backPasses,nickname,substitute,substituted,win,draw,defeat
0,,1,5,Botafogo,5,127,7,38,1,0,1,30,5,25,16.7,4,81,57,138,15,3,18,5,4,24,23,5,0,8,13,3,0,2,4,1,3,120,44,164,73.2,990,5,0,,0,0,0,1,0
0,,1,22,Santos,4,319,4,42,4,1,5,21,6,15,28.6,4,74,39,113,9,8,17,4,5,23,24,7,0,8,15,3,0,1,2,0,2,312,48,360,86.7,991,0,2,,0,0,0,1,0
0,,1,17,Palmeiras,5,297,2,30,2,0,2,35,8,27,22.9,2,76,27,103,12,3,15,4,12,10,15,6,0,10,16,1,0,4,8,5,3,280,50,330,84.8,991,3,5,,0,0,1,0,0
0,,1,21,Vitória,2,172,0,34,1,1,2,11,2,9,18.2,5,89,38,127,17,1,18,12,4,15,10,2,0,10,12,0,0,3,1,0,1,165,60,225,73.3,963,3,5,,0,0,0,0,1
0,,1,1094,Atlético-GO,0,202,2,31,2,0,2,21,4,17,19,1,59,34,93,14,0,14,7,9,20,11,4,2,15,21,0,0,2,6,2,4,195,38,233,83.7,990,3,3,,0,0,0,1,0
0,,1,13,Grêmio,0,149,1,41,4,1,5,21,6,15,28.6,4,62,28,90,5,0,5,9,7,11,20,1,2,8,11,0,0,1,7,4,3,142,54,196,72.4,974,1,2,,0,0,0,1,0
0,,1,1,Flamengo,5,203,3,20,2,0,2,11,3,8,27.3,3,59,12,71,9,0,9,4,4,14,17,3,1,11,15,1,0,1,2,0,2,195,45,240,81.3,990,1,2,,0,0,0,1,0
0,,1,24,São Paulo,5,387,6,44,2,0,2,12,5,7,41.7,2,68,20,88,17,7,24,4,4,17,14,5,1,11,17,1,0,2,4,1,3,380,37,417,91.1,990,2,5,,0,0,0,1,0
0,,1,4,Atlético-MG,5,311,1,27,4,0,4,12,0,12,0,3,81,34,115,11,1,12,11,2,13,16,6,0,10,16,2,0,5,5,0,5,304,54,358,84.9,990,9,6,,0,0,1,0,0
0,,1,25,Vasco,4,200,2,27,1,0,1,19,8,11,42.1,4,67,24,91,15,4,19,2,11,16,13,4,0,10,14,1,0,2,4,0,4,195,39,234,83.3,990,1,1,,0,0,0,0,1
0,,1,15,Internacional,5,258,2,31,2,0,2,28,8,20,28.6,2,73,37,110,6,1,7,6,12,31,17,6,0,11,17,1,0,3,3,0,3,248,55,303,81.8,990,1,5,,0,0,0,0,1
0,,1,9,Cruzeiro,3,191,0,30,4,0,4,13,1,12,7.7,6,72,49,121,6,0,6,12,6,17,31,5,0,4,9,2,0,3,2,1,1,183,52,235,77.9,990,5,7,,0,0,1,0,0
0,,1,6,Corinthians,1,390,5,28,2,0,2,45,9,36,20,0,104,28,132,10,0,10,3,10,18,13,8,0,17,25,2,0,2,5,3,2,376,49,425,88.5,990,8,3,,0,0,1,0,0
0,,1,3,Atlético-PR,2,138,1,34,4,2,6,6,3,3,50,7,69,48,117,8,1,9,10,3,13,18,1,0,6,7,1,0,6,6,2,4,137,57,194,70.6,922,1,2,,0,0,0,0,1
0,,1,33,Ceará,7,213,7,27,5,2,7,8,3,5,37.5,1,54,26,80,5,1,6,7,1,16,22,2,0,11,13,1,0,1,2,1,1,204,30,234,87.2,1.035,3,1,,0,0,1,0,0
0,,1,11,Fluminense,1,226,8,33,3,1,4,19,2,17,10.5,1,57,27,84,9,1,10,1,7,20,16,1,0,7,8,0,0,1,4,1,3,217,42,259,83.8,933,1,1,,0,0,0,0,1
0,,1,14,Guarani,2,151,4,39,1,0,1,12,3,9,25,2,99,32,131,11,4,15,8,5,17,16,5,0,4,9,1,0,2,3,1,2,146,52,198,73.7,990,3,2,,0,0,1,0,0
0,,1,12,Goiás,3,229,4,47,1,0,1,29,4,25,13.8,4,95,28,123,15,4,19,5,8,16,17,2,0,6,8,0,0,3,4,3,1,220,62,282,78,990,8,1,,0,0,0,0,1
0,,1,29,Avaí,2,269,6,37,1,0,1,23,6,17,26.1,5,64,29,93,6,2,8,2,8,11,15,11,1,9,21,6,0,3,3,2,1,274,34,308,89,990,5,0,,0,0,1,0,0
0,,1,631,Grêmio Prudente,1,200,3,44,3,2,5,7,1,6,14.3,5,67,34,101,11,1,12,8,2,15,11,6,0,8,14,1,0,2,4,1,3,198,47,245,80.8,921,3,3,,0,0,0,0,1
0,,2,24,São Paulo,4,332,4,39,3,0,3,18,4,14,22.2,3,63,32,95,14,6,20,9,5,15,17,4,1,10,15,1,0,0,1,1,0,328,40,368,89.1,990,6,2,,0,0,0,0,1
0,,2,5,Botafogo,5,232,0,42,1,0,1,29,5,24,17.2,3,81,34,115,6,6,12,5,9,17,15,5,0,4,9,2,0,3,12,9,3,218,40,258,84.5,990,2,2,,0,0,1,0,0
0,,2,11,Fluminense,8,223,1,31,1,0,1,21,6,15,28.6,5,71,27,98,5,1,6,3,7,30,11,8,2,5,15,1,0,4,3,3,0,212,46,258,82.2,990,0,3,,0,0,1,0,0
0,,2,1094,Atlético-GO,1,180,2,26,3,1,4,11,3,8,27.3,6,68,30,98,10,1,11,7,3,11,30,5,0,4,9,0,0,5,4,3,1,177,52,229,77.3,976,3,1,,0,0,0,0,1
0,,2,631,Grêmio Prudente,5,159,1,25,2,0,2,16,3,13,18.8,9,70,46,116,8,0,8,6,10,17,20,7,0,2,9,4,0,1,2,0,2,152,62,214,71,990,0,3,,0,0,1,0,0
0,,2,4,Atlético-MG,4,439,0,30,5,0,5,25,6,19,24,3,68,37,105,6,2,8,10,6,20,17,9,0,5,14,0,0,0,4,1,3,435,52,487,89.3,990,6,2,,0,0,0,0,1
0,,2,13,Grêmio,3,274,8,52,3,0,3,14,2,12,14.3,1,74,26,100,10,1,11,2,5,17,13,3,0,7,10,1,0,3,1,0,1,264,63,327,80.7,990,0,7,,0,0,0,0,1
0,,2,6,Corinthians,3,189,3,43,2,0,2,14,2,12,14.3,2,83,60,143,2,0,2,5,2,13,17,3,0,7,10,2,0,3,2,1,1,188,70,258,72.9,991,2,1,,0,0,1,0,0
0,,2,12,Goiás,2,136,0,29,4,0,4,18,3,15,16.7,4,51,20,71,1,1,2,2,7,19,15,7,0,2,9,2,0,7,5,3,2,128,38,166,77.1,990,1,2,,0,0,0,0,1
0,,2,15,Internacional,5,253,0,38,1,0,1,8,3,5,37.5,5,73,24,97,23,4,27,7,2,15,19,8,0,7,15,3,0,1,2,2,0,242,46,288,84,991,1,2,,0,0,1,0,0
0,,2,21,Vitória,4,203,5,50,4,0,4,40,7,33,17.5,5,103,50,153,16,4,20,4,14,17,17,4,0,9,13,1,0,0,5,2,3,194,76,270,71.9,990,3,2,,0,0,0,1,0
0,,2,1,Flamengo,1,134,4,60,1,0,1,19,4,15,21.1,3,107,66,173,9,0,9,14,4,17,17,6,0,3,9,1,0,2,7,4,3,126,69,195,64.6,990,1,1,,0,0,0,1,0
0,,2,22,Santos,3,302,7,31,4,0,4,27,5,22,18.5,2,71,28,99,19,2,21,5,12,33,21,4,0,14,18,1,0,3,3,1,2,300,42,342,87.7,990,0,0,,0,0,0,1,0
0,,2,33,Ceará,2,151,0,31,4,0,4,18,4,14,22.2,3,65,44,109,7,2,9,12,5,21,33,3,0,7,10,1,0,4,3,2,1,145,39,184,78.8,990,3,0,,0,0,0,1,0
0,,2,25,Vasco,7,232,4,36,2,0,2,28,7,21,25,4,67,31,98,15,3,18,3,6,13,26,4,0,13,17,0,0,0,3,0,3,220,49,269,81.8,990,6,3,,0,0,0,1,0
0,,2,17,Palmeiras,1,154,0,38,2,0,2,9,2,7,22.2,4,81,36,117,16,4,20,6,3,26,13,4,0,6,10,0,0,3,2,0,2,137,70,207,66.2,990,0,3,,0,0,0,1,0
0,,2,9,Cruzeiro,7,283,4,38,1,1,2,30,14,16,46.7,1,66,18,84,8,5,13,1,7,15,13,4,2,18,24,2,0,5,8,5,3,254,42,296,85.8,918,5,11,,0,0,0,1,0
0,,2,29,Avaí,2,175,5,34,2,1,3,7,2,5,28.6,2,49,44,93,10,3,13,7,1,13,15,3,1,3,7,2,0,4,3,2,1,169,50,219,77.2,960,1,2,,0,0,0,1,0
0,,2,3,Atlético-PR,7,246,5,40,4,0,4,35,9,26,25.7,3,77,43,120,6,1,7,5,15,24,20,9,0,9,18,2,0,4,2,0,2,232,51,283,82,990,2,4,,0,0,0,1,0
0,,2,14,Guarani,4,128,0,27,6,0,6,14,4,10,28.6,7,65,49,114,3,1,4,15,5,20,24,5,1,6,12,2,0,1,5,1,4,123,44,167,73.7,992,1,2,,0,0,0,1,0
0,,3,1094,Atlético-GO,12,181,2,31,3,1,4,20,5,15,25,7,47,15,62,3,1,4,6,6,15,13,3,0,6,9,1,0,5,0,0,0,203,43,246,82.5,985,3,1,,0,0,0,0,1
0,,3,22,Santos,3,205,0,21,5,0,5,8,2,6,25,2,42,17,59,7,0,7,6,6,13,15,9,0,8,17,2,0,2,0,0,0,201,29,230,87.4,994,2,3,,0,0,1,0,0
0,,3,17,Palmeiras,4,196,5,25,3,1,4,14,4,10,28.6,3,69,41,110,6,2,8,12,2,17,26,8,0,4,12,4,0,2,9,2,7,188,47,235,80,947,4,3,,0,0,1,0,0
0,,3,13,Grêmio,8,290,1,27,4,1,5,28,4,24,14.3,4,80,23,103,6,2,8,2,12,26,17,6,0,11,17,2,0,1,2,2,0,266,50,316,84.2,946,10,3,,0,0,0,0,1
0,,3,5,Botafogo,13,239,8,34,2,2,4,22,11,11,50,8,78,49,127,11,2,13,9,3,18,19,7,0,10,17,3,0,3,4,2,2,253,58,311,81.4,979,3,3,,0,0,1,0,0
0,,3,12,Goiás,4,194,4,35,3,2,5,26,3,23,11.5,4,92,37,129,6,2,8,3,9,19,18,7,0,10,17,0,0,1,2,0,2,190,64,254,74.8,944,3,1,,0,0,0,0,1
0,,3,6,Corinthians,4,190,2,52,5,0,5,12,3,9,25,3,93,53,146,6,1,7,10,3,10,19,3,1,7,11,1,0,0,4,2,2,177,67,244,72.5,990,1,5,,0,0,1,0,0
0,,3,11,Fluminense,7,224,6,35,1,0,1,27,9,18,33.3,2,85,36,121,2,1,3,3,10,19,10,3,0,7,10,0,0,6,5,0,5,223,81,304,73.4,991,0,0,,0,0,0,0,1
0,,3,4,Atlético-MG,8,340,2,34,3,0,3,22,5,17,22.7,2,82,23,105,5,2,7,3,3,12,15,9,1,8,18,3,0,1,7,5,2,323,45,368,87.8,990,5,3,,0,0,1,0,0
0,,3,3,Atlético-PR,3,293,3,43,0,0,0,17,5,12,29.4,6,84,22,106,9,2,11,3,3,15,12,3,0,9,12,1,0,3,8,3,5,284,47,331,85.8,990,4,1,,0,0,0,0,1
0,,3,15,Internacional,5,423,4,36,1,0,1,51,12,39,23.5,1,92,28,120,10,3,13,3,12,10,18,7,0,14,21,0,0,2,5,0,5,405,52,457,88.6,990,7,4,,0,0,0,0,1
0,,3,24,São Paulo,5,196,3,43,1,0,1,8,1,7,12.5,7,79,44,123,11,3,14,12,3,18,10,3,0,4,7,2,0,1,2,0,2,188,62,250,75.2,990,1,5,,0,0,1,0,0
0,,3,33,Ceará,5,259,4,34,1,1,2,31,5,26,16.1,1,65,26,91,8,2,10,2,8,15,20,6,0,10,16,1,0,1,1,1,0,256,25,281,91.1,933,3,2,,0,0,1,0,0
0,,3,21,Vitória,1,121,3,23,1,1,2,10,6,4,60,5,56,39,95,2,2,4,8,2,20,15,1,0,2,3,0,0,2,2,1,1,110,40,150,73.3,933,2,5,,0,0,0,0,1
